Year, Title, Date_Granted, Date_Argued, Date_Decided
2017, "Ortiz v. United States", 2017-09-27, 2018-01-15, 2018-06-21
2017, "Cox v. United States", 2017-09-27, 2018-01-15, 2018-06-21
2017, "North Carolina v. Covington", 0, 0, 2018-06-27
2017, "Sexton v. Beaudreaux", 2018-06-27, 0, 2018-06-27
2017, "Sause v. Bauer", 2018-06-27, 0, 2018-06-27
2018, "Weyerhaeuser Company v. United States Fish and Wildlife Service", 2018-01-21, 2018-09-30, 2018-11-26
2018, "Knick v. Township of Scott, Pennsylvania", 2018-03-04, 2018-10-02, 2019-06-20
2018, "Gundy v. United States", 2018-03-04, 2018-10-01, 2019-06-19
2018, "Nielsen v. Preap", 2018-03-18, 2018-10-09, 2019-03-18
2018, "Stokeling v. United States", 2018-04-01, 2018-10-08, 2019-01-14
2018, "United States v. Stitt", 2018-04-22, 2018-10-08, 2018-12-09
2018, "Frank v. Gaos", 2018-04-29, 2018-10-30, 2019-03-19
2018, "Lamps Plus, Inc. v. Varela", 2018-04-29, 2018-10-28, 2019-04-23
2018, "Bucklew v. Precythe", 2018-04-29, 2018-11-05, 2019-03-31
2018, "New Prime Inc. v. Oliveira", 2018-02-25, 2018-10-02, 2019-01-14
2018, "Mount Lemmon Fire District v. Guido", 2018-02-25, 2018-09-30, 2018-11-05
2018, "Madison v. Alabama", 2018-02-25, 2018-10-01, 2019-02-26
2018, "BNSF Railway Co. v. Loos", 2018-05-13, 2018-11-05, 2019-03-03
2018, "Air and Liquid Systems Corp. v. Devries", 2018-05-13, 2018-10-09, 2019-03-18
2018, "Culbertson v. Berryhill", 2018-05-20, 2018-11-06, 2019-01-07
2018, "Carpenter v. Murphy", 2018-05-20, 2018-11-26, 0
2018, "Jam v. International Finance Corp.", 2018-05-20, 2018-10-30, 2019-02-26
2018, "Virginia Uranium, Inc. v. Warren", 2018-05-20, 2018-11-04, 2019-06-16
2018, "Apple v. Pepper", 2018-06-17, 2018-11-25, 2019-05-12
2018, "Garza v. Idaho", 2018-06-17, 2018-10-29, 2019-02-26
2018, "Lorenzo v. Securities and Exchange Commission", 2018-06-17, 2018-12-02, 2019-03-26
2018, "Sturgeon v. Frost", 2018-06-17, 2018-11-04, 2019-03-25
2018, "Timbs v. Indiana", 2018-06-17, 2018-11-27, 2019-02-19
2018, "Washington State Department of Licensing v. Cougar Den, Inc.", 2018-06-24, 2018-10-29, 2019-03-18
2018, "Republic of Sudan v. Harrison", 2018-06-24, 2018-11-06, 2019-03-25
2018, "Dawson v. Steager", 2018-06-24, 2018-12-02, 2019-02-19
2018, "Biestek v. Berryhill", 2018-06-24, 2018-12-03, 2019-03-31
2018, "Helsinn Healthcare S.A. v. Teva Pharmaceuticals USA Inc.", 2018-06-24, 2018-12-03, 2019-01-21
2018, "Henry Schein Inc. v. Archer and White Sales Inc.", 2018-06-24, 2018-10-28, 2019-01-07
2018, "Merck Sharp & Dohme Corp. v. Albrecht", 2018-06-27, 2019-01-06, 2019-05-19
2018, "Nieves v. Bartlett", 2018-06-27, 2018-11-25, 2019-05-27
2018, "Fourth Estate Public Benefit Corp. v. Wall-Street.com", 2018-06-27, 2019-01-07, 2019-03-03
2018, "Obduskey v. McCarthy & Holthus LLP", 2018-06-27, 2019-01-06, 2019-03-19
2018, "Franchise Tax Board of California v. Hyatt", 2018-06-27, 2019-01-08, 2019-05-12
2018, "Gamble v. United States", 2018-06-27, 2018-12-05, 2019-06-16
2018, "Nutraceutical Corp. v. Lambert", 2018-06-24, 2018-11-26, 2019-02-25
2018, "Herrera v. Wyoming", 2018-06-27, 2019-01-07, 2019-05-19
2018, "Azar v. Allina Health Services", 2018-09-26, 2019-01-14, 2019-06-02
2018, "Home Depot U.S.A., Inc. v. Jackson", 2018-09-26, 2019-01-14, 2019-05-27
2018, "Rimini Street, Inc. v. Oracle USA, Inc.", 2018-09-26, 2019-01-13, 2019-03-03
2018, "Thacker v. Tennessee Valley Authority", 2018-09-26, 2019-01-13, 2019-04-28
2018, "Tennessee Wine and Spirits Retailers Association v. Thomas", 2018-09-26, 2019-01-15, 2019-06-25
2018, "Manhattan Community Access Corp. v. Halleck", 2018-10-11, 2019-02-24, 2019-06-16
2018, "Return Mail, Inc. v. United States Postal Service", 2018-10-25, 2019-02-18, 2019-06-09
2018, "Mission Product Holdings, Inc. v. Tempnology, LLC", 2018-10-25, 2019-02-19, 2019-05-19
2018, "United States v. Haymond", 2018-10-25, 2019-02-25, 2019-06-25
2018, "Smith v. Berryhill", 2018-11-01, 2019-03-17, 2019-05-27
2018, "Gray v. Wilkie", 2018-11-01, 0, 2019-06-23
2018, "The American Legion v. American Humanist Association", 2018-11-01, 2019-02-26, 2019-06-19
2018, "Mont v. United States", 2018-11-01, 2019-02-25, 2019-06-02
2018, "Flowers v. Mississippi", 2018-11-01, 2019-03-19, 2019-06-20
2018, "Kisor v. Wilkie", 2018-12-09, 2019-03-26, 2019-06-25
2018, "City of Escondido v. Emmons", 2019-01-06, 0, 2019-01-06
2018, "Shoop v. Hill", 2019-01-06, 0, 2019-01-06
2018, "Iancu v. Brunetti", 2019-01-03, 2019-04-14, 2019-06-23
2018, "Emulex Corp. v. Varjabedian", 2019-01-03, 2019-04-14, 2019-04-22
2018, "Taggart v. Lorenzen", 2019-01-03, 2019-04-23, 2019-06-02
2018, "United States v. Davis", 2019-01-03, 2019-04-16, 2019-06-23
2018, "Cochise Consultancy Inc. v. United States, ex rel. Hunt", 2018-11-15, 2019-03-18, 2019-05-12
2018, "Quarles v. United States", 2019-01-10, 2019-04-23, 2019-06-09
2018, "Rehaif v. United States", 2019-01-10, 2019-04-22, 2019-06-20
2018, "Parker Drilling Management Services, Ltd. v. Newton", 2019-01-10, 2019-04-15, 2019-06-09
2018, "North Carolina Department of Revenue v. The Kimberley Rice Kaestner 1992 Family Trust", 2019-01-10, 2019-04-15, 2019-06-20
2018, "Food Marketing Institute v. Argus Leader Media", 2019-01-10, 2019-04-21, 2019-06-23
2018, "McDonough v. Smith", 2019-01-10, 2019-04-16, 2019-06-19
2018, "Fort Bend County, Texas v. Davis", 2019-01-10, 2019-04-21, 2019-06-02
2018, "PDR Network, LLC v. Carlton & Harris Chiropractic Inc.", 2018-11-12, 2019-03-24, 2019-06-19
2018, "The Dutra Group v. Batterton", 2018-12-06, 2019-03-24, 2019-06-23
2018, "Mitchell v. Wisconsin", 2019-01-10, 2019-04-22, 2019-06-26
2018, "Virginia House of Delegates v. Bethune-Hill", 2018-09-05, 2019-03-17, 2019-06-16
2018, "Rucho v. Common Cause", 2018-10-02, 2019-03-25, 2019-06-26
2018, "Department of Commerce v. New York", 2019-02-14, 2019-04-22, 2019-06-26
2018, "Moore v. Texas", 2019-02-18, 0, 2019-02-18
2018, "Yovino v. Rizo", 2019-02-24, 0, 2019-02-24
2018, "Lamone v. Benisek", 2018-12-05, 2019-03-25, 2019-06-26
2018, "Box v. Planned Parenthood of Indiana and Kentucky, Inc.", 2019-05-27, 0, 2019-05-27
2019, "New York State Rifle & Pistol Association Inc. v. City of New York", 2019-01-21, 2019-12-01, 2020-04-26
2019, "County of Maui, Hawaii v. Hawaii Wildlife Fund", 2019-02-18, 2019-11-05, 2020-04-22
2019, "Rotkiske v. Klemm", 2019-02-24, 2019-10-15, 2019-12-09
2019, "Peter v. NantKwest, Inc.", 2019-03-03, 2019-10-06, 2019-12-11
2019, "Kansas v. Garcia", 2019-03-17, 2019-10-15, 2020-03-03
2019, "Mathena v. Malvo", 2019-03-17, 2019-10-15, 0
2019, "Ramos v. Louisiana", 2019-03-17, 2019-10-06, 2020-04-19
2019, "Kahler v. Kansas", 2019-03-17, 2019-10-06, 2020-03-22
2019, "Kansas v. Glover", 2019-03-31, 2019-11-03, 2020-04-05
2019, "Altitude Express v. Zarda", 2019-04-21, 2019-10-07, 2020-06-14
2019, "Bostock v. Clayton County", 2019-04-21, 2019-10-07, 2020-06-14
2019, "Barton v. Barr", 2019-04-21, 2019-11-03, 2020-04-22
2019, "CITGO Asphalt Refining Co. v. Frescati Shipping Co.", 2019-04-21, 2019-11-04, 2020-03-29
2019, "R.G. & G.R. Harris Funeral Homes Inc. v. Equal Employment Opportunity Commission", 2019-04-21, 2019-10-07, 2020-06-14
2019, "Allen v. Cooper", 2019-06-02, 2019-11-04, 2020-03-22
2019, "Holguin-Hernandez v. United States", 2019-06-02, 2019-12-09, 2020-02-25
2019, "Retirement Plans Committee of IBM v. Jander", 2019-06-02, 2019-11-05, 2020-01-13
2019, "Atlantic Richfield Co. v. Christian, et al.", 2019-06-09, 2019-12-02, 2020-04-19
2019, "McKinney v. Arizona", 2019-06-09, 2019-12-10, 2020-02-24
2019, "Intel Corp. Investment Policy Committee v. Sulyma", 2019-06-09, 2019-12-03, 2020-02-25
2019, "Monasky v. Taglieri", 2019-06-09, 2019-12-10, 2020-02-24
2019, "Comcast Corp. v. National Association of African American-Owned Media", 2019-06-09, 2019-11-12, 2020-03-22
2019, "Ritzen Group, Inc. v. Jackson Masonry, LLC", 2019-05-19, 2019-11-12, 2020-01-13
2019, "Guerrero-Lasprilla v. Barr", 2019-06-23, 2019-12-08, 2020-03-22
2019, "Thryv, Inc. v. Click-To-Call Technologies, LP", 2019-06-23, 2019-12-08, 2020-04-19
2019, "Maine Community Health Options v. United States", 2019-06-23, 2019-12-09, 2020-04-26
2019, "Georgia v. Public.Resource.Org Inc.", 2019-06-23, 2019-12-01, 2020-04-26
2019, "Banister v. Davis", 2019-06-23, 2019-12-03, 2020-05-31
2019, "Financial Oversight and Management Board for Puerto Rico v. Aurelius Investment, LLC", 2019-06-19, 2019-10-14, 2020-05-31
2019, "Opati v. Republic of Sudan", 2019-06-27, 2020-02-23, 0
2019, "Thole v. U.S. Bank, N.A.", 2019-06-27, 2020-01-12, 2020-05-31
2019, "Babb v. Wilkie", 2019-06-27, 2020-01-14, 2020-04-05
2019, "GE Energy Power Conversion France SAS v. Outokumpu Stainless USA LLC", 2019-06-27, 2020-01-20, 2020-05-31
2019, "Kelly v. United States", 2019-06-27, 2020-01-13, 2020-05-06
2019, "Lucky Brand Dungarees Inc. v. Marcel Fashions Group Inc.", 2019-06-27, 2020-01-12, 2020-05-13
2019, "Espinoza v. Montana Department of Revenue", 2019-06-27, 2020-01-21, 2020-06-29
2019, "Romag Fasteners, Inc. v. Fossil, Inc.", 2019-06-27, 2020-01-13, 2020-04-22
2019, "Rodriguez v. Federal Deposit Insurance Corp.", 2019-06-27, 2019-12-02, 2020-02-24
2019, "Shular v. United States", 2019-06-27, 2020-01-20, 2020-02-25
2019, "Hernandez v. Mesa", 2019-05-27, 2019-11-11, 2020-02-24
2019, "Department of Homeland Security v. Regents of the University of California", 2019-06-27, 2019-11-11, 2020-06-17
2019, "June Medical Services LLC v. Russo", 2019-10-03, 2020-03-03, 2020-06-28
2019, "United States Forest Service v. Cowpasture River Preservation Association", 2019-10-03, 2020-02-23, 2020-06-14
2019, "United States v. Sineneng-Smith", 2019-10-03, 2020-02-24, 2020-05-06
2019, "Nasrallah v. Barr", 2019-10-17, 2020-03-01, 2020-05-31
2019, "Lomax v. Ortiz-Marquez", 2019-10-17, 2020-02-25, 2020-06-07
2019, "Seila Law LLC v. Consumer Financial Protection Bureau", 2019-10-17, 2020-03-02, 2020-06-28
2019, "Department of Homeland Security v. Thuraissigiam", 2019-10-18, 2020-03-01, 2020-06-24
2019, "Liu v. Securities and Exchange Commission", 2019-10-31, 2020-03-02, 2020-06-21
2019, "U.S. Patent and Trademark Office v. Booking.com B.V.", 2019-11-07, 2020-05-03, 2020-06-29
2019, "Walker v. United States", 2019-11-14, 0, 0
2019, "Thompson v. Hebdon", 2019-11-24, 0, 2019-11-24
2019, "McGirt v. Oklahoma", 2019-12-12, 2020-05-10, 2020-07-08
2019, "Trump v. Mazars USA, LLP", 2019-12-12, 2020-05-11, 2020-07-08
2019, "Trump v. Vance", 2019-12-12, 2020-05-11, 2020-07-08
2019, "United States Agency for International Development v. Alliance for Open Society International, Inc.", 2019-12-12, 2020-05-04, 2020-06-28
2019, "Our Lady of Guadalupe School v. Morrissey-Berru", 2019-12-17, 2020-05-10, 2020-07-07
2019, "Barr v. American Association of Political Consultants Inc.", 2020-01-09, 2020-05-05, 2020-07-05
2019, "Little Sisters of the Poor Saints Peter and Paul Home v. Pennsylvania", 2020-01-16, 2020-05-05, 2020-07-07
2019, "Chiafalo v. Washington", 2020-01-16, 2020-05-12, 2020-07-05
2019, "Colorado Department of State v. Baca", 2020-01-16, 2020-05-12, 2020-07-05
2020, "Google LLC v. Oracle America Inc.", 2019-11-14, 2020-10-06, 2021-04-04
2020, "United States v. Briggs", 2019-11-14, 2020-10-12, 2020-12-09
2020, "Tanzin v. Tanvir", 2019-11-21, 2020-10-05, 2020-12-09
2020, "Carney v. Adams", 2019-12-05, 2020-10-04, 2020-12-09
2020, "Torres v. Madrid", 2019-12-17, 2020-10-13, 2021-03-24
2020, "City of Chicago v. Fulton", 2019-12-17, 2020-10-12, 2021-01-13
2020, "Pereida v. Wilkinson", 2019-12-17, 2020-10-13, 2021-03-03
2020, "Rutledge v. Pharmaceutical Care Management Association", 2020-01-09, 2020-10-05, 0
2020, "Salinas v. United States Railroad Retirement Board", 2020-01-09, 2020-11-01, 2021-02-02
2020, "Ford Motor Company v. Montana Eighth Judicial District Court", 2020-01-16, 2020-10-06, 2021-03-24
2020, "Fulton v. City of Philadelphia", 2020-02-23, 2020-11-03, 2021-06-16
2020, "U.S. Fish and Wildlife Service v. Sierra Club", 2020-03-01, 2020-11-01, 2021-03-03
2020, "Borden v. United States", 2020-03-01, 2020-11-02, 2021-06-09
2020, "California v. Texas", 2020-03-01, 2020-11-09, 2021-06-16
2020, "Jones v. Mississippi", 2020-03-08, 2020-11-02, 2021-04-21
2020, "Brownback v. King", 2020-03-29, 2020-11-08, 2021-02-24
2020, "Van Buren v. United States", 2020-04-19, 2020-11-29, 0
